_Date	_Time	_Notes	_Run Type	Battle Date	Armor Shards	Basic	Black Hole Damage	Boss	Cannon Shards	Cash earned	Cash From Golden Tower	Cells Earned	Chain Lightning Damage	Coins earned	Coins Fetched	Coins From Black Hole	Coins from Coin Bonuses	Coins from Coin Upgrade	Coins From Death Wave	Coins From Golden Tower	Coins From Orb	Coins From Spotlight	Coins per hour	Commander	Common Modules	Core Shards	Damage	Damage dealt	Damage Gain From Berserk	Damage Taken	Damage Taken Wall	Damage Taken While Berserked	Death Defy	Death Ray Damage	Death Wave Damage	Destroyed by Death Ray	Destroyed by Land Mine	Destroyed By Orbs	Destroyed by Thorns	Destroyed in Golden Bot	Destroyed in Spotlight	Enemies Hit by Orbs	Fast	Flame Bot Damage	Free Attack Upgrade	Free Defense Upgrade	Free Utility Upgrade	Game Time	Gem Blocks Tapped	Gems	Generator Shards	Golden Bot Coins Earned	Guardian coins stolen	HP From Death Wave	Inner Land Mine Damage	Interest earned	Killed By	Land Mine Damage	Land Mines Spawned	Lifesteal	Medals	Orb Damage	Overcharge	Projectiles Count	Projectiles Damage	Protector	Ranged	Rare Modules	Rays	Real Time	Recovery Packages	Rend Armor Damage	Reroll Shards	Reroll Shards Earned	Saboteur	Scatters	Smart Missile Damage	Summoned enemies	Swamp Damage	Tagged by Deathwave	Tank	Thorn damage	Thunder Bot Stuns	Tier	Total Elites	Total Enemies	Vampires	Wave	Waves Skipped
2025-10-30	12:42:00		milestone	Oct 30, 2025 12:42	0	222	289.38s	5	0	1.6M	210.42K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852.6s	8	10.33T	5.03T	86.05T	0	0	8.39q	0	0	165	7	11	0	246	22	0	28	25	30	2m 55s	0	0	0	0	0	0	389.69q	13.6K	Boss	686.74q	93	1.33T	0	355.13s	0	16.01K	93.72Q	3	10	0	0	43s	5	77.24Q	0	0	0	0	59.21q	40	0	136	18	208s	0	16	0	280	0	50	44
2025-10-30	12:37:00		farm	Oct 30, 2025 12:37	33	588860	28.13D	752	30	3.04B	1.44B	185.42K	0	11.51T	28.77B	192.07B	10.11T	576.78B	21.68B	548.08B	0	0	903.21B	0	2	42	0	250.06D	8	8q	205.78q	181.55Q	0	0	443.09Q	0	50120	1398525	82304	96714	0	1.4M	335474	0	967	677	668	2d 14h 47m 50s	8	2	36	10.19B	0	0	6.17s	20.35M	Scatter	418.65s	490129	1.31T	4	216.25D	0	26.78M	506.89s	1477	288508	1	3224	12h 44m 28s	6008	448.75s	700	19.7K	0	3283	2.26s	90.2K	21.81S	305202	318261	5.69D	0	11	9736	1632238	3229	9742	2257
2025-10-28	21:04:00		tournament	Oct 28, 2025 21:04	0	49150	26.61s	154	0	309.09M	244.93M	1.14K	237.51s	8.59B	0	269.29M	7.6B	232.41M	17.15M	432.79M	0	0	4.36B	0	0	0	7.7Q	753.54s	8	748.92T	1.67q	6.82q	0	5.72s	1.7Q	4161	2778	46983	49	4237	0	47.09K	10342	0	543	479	601	7h 53m 5s	2	0	0	15.01M	0	0	13.46Q	2.45M	Fast	81.77Q	23576	1.31T	0	462.56s	0	616.79K	15.22s	179	7474	0	41	1h 58m 16s	740	11.02s	0	3.2K	0	50	45.96Q	0	0	5416	10662	5.78s	0	11	131	79592	40	930	3
