_Date	_Time	_Notes	_Run Type	Battle Date	Armor Shards	Basic	Black Hole Damage	Boss	Cannon Shards	Cash earned	Cash From Golden Tower	Cells Earned	Chain Lightning Damage	Coins earned	Coins Fetched	Coins From Black Hole	Coins from Blackhole	Coins from Coin Bonuses	Coins from Coin Upgrade	Coins From Death Wave	Coins From Golden Tower	Coins From Orb	Coins from Orbs	Coins From Spotlight	Coins per hour	Coins Stolen	Commander	Commanders	Common Modules	Core Shards	Damage	Damage dealt	Damage Gain From Berserk	Damage Taken	Damage Taken Wall	Damage Taken While Berserked	Death Defy	Death Ray Damage	Death Wave Damage	Destroyed by Death Ray	Destroyed by Land Mine	Destroyed By Orbs	Destroyed by Thorns	Destroyed in Golden Bot	Destroyed in Spotlight	Enemies Hit by Orbs	Fast	Flame Bot Damage	Free Attack Upgrade	Free Defense Upgrade	Free Utility Upgrade	Game Time	Gem Blocks Tapped	Gems	Generator Shards	Golden Bot Coins Earned	Guardian catches	Guardian coins stolen	HP From Death Wave	Inner Land Mine Damage	Interest earned	Killed By	Land Mine Damage	Land Mines Spawned	Lifesteal	Medals	Orb Damage	Orb Hits	Overcharge	Overcharges	Projectiles Count	Projectiles Damage	Protector	Ranged	Rare Modules	Rays	Real Time	Recovery Packages	Rend Armor Damage	Reroll Shards	Reroll Shards Earned	Saboteur	Saboteurs	Scatters	Smart Missile Damage	Summoned enemies	Swamp Damage	Tagged by Deathwave	Tank	Thorn damage	Thunder Bot Stuns	Tier	Total Elites	Total Enemies	Vampires	Wave	Waves Skipped
2025-09-27	15:07:00	Hit Amplifying Strike Ancestral, Rolled Dim Core ancestral effects (Chain dmg + quant at anc, chance at mythic)	tournament		0	68352	4.36s	143	0	$555.46M	$456.86M	745	351.91s	9.63B	0		326.49M	8.40B	264.62M	21.38M	567.46M		0	0		0		0	0	0	112.92q	423.23s	x8.00	3.76q	737.14T	6.51q	1	0	306.71q	0	2340	12565	344				14528	0	527	521	553	7h 15m 18s	2	0	0	19.12M	0		1.32T	14.90Q	$2.29M	Ranged	52.25Q	33404	27.75T	0	44.85s	19.32K		0	966.13K	13.57s	157	10684	0	24	1h 49m 8s	689	8.93s	0	1.62K		0	40	2.77Q		0		15063	8.47s	0	11+	100	110227	36	860	1
2025-09-27	15:07:00	Hit Amplifying Strike Ancestral, Rolled Dim Core ancestral effects (Chain dmg + quant at anc, chance at mythic)	tournament		0	68352	4.36s	143	0	$555.46M	$456.86M	745	351.91s	9.63B	0		326.49M	8.40B	264.62M	21.38M	567.46M		0	0		0		0	0	0	112.92q	423.23s	x8.00	3.76q	737.14T	6.51q	1	0	306.71q	0	2340	12565	344				14528	0	527	521	553	7h 15m 18s	2	0	0	19.12M	0		1.32T	14.90Q	$2.29M	Ranged	52.25Q	33404	27.75T	0	44.85s	19.32K		0	966.13K	13.57s	157	10684	0	24	1h 49m 8s	689	8.93s	0	1.62K		0	40	2.77Q		0		15063	8.47s	0	11+	100	110227	36	860	1
2025-09-27	15:07:00	Hit Amplifying Strike Ancestral, Rolled Dim Core ancestral effects (Chain dmg + quant at anc, chance at mythic)	tournament		0	68352	4.36s	143	0	$555.46M	$456.86M	745	351.91s	9.63B	0		326.49M	8.40B	264.62M	21.38M	567.46M		0	0		0		0	0	0	112.92q	423.23s	x8.00	3.76q	737.14T	6.51q	1	0	306.71q	0	2340	12565	344				14528	0	527	521	553	7h 15m 18s	2	0	0	19.12M	0		1.32T	14.90Q	$2.29M	Ranged	52.25Q	33404	27.75T	0	44.85s	19.32K		0	966.13K	13.57s	157	10684	0	24	1h 49m 8s	689	8.93s	0	1.62K		0	40	2.77Q		0		15063	8.47s	0	11+	100	110227	36	860	1
2025-09-27	09:25:00	BH Cooldown dropped to 100s	farm		33	402028	16.97O	541	15	$3.18B	$1.72B	81.63K	0	4.52T	10.64B		96.75B	3.82T	283.18B	12.07B	282.44B		0	0		6.90B		0	3	30	0	155.91O	x8.00	945.34T	96.50q	3.00Q	0	0	86.38Q	0	67705	570345	62685				193274	0	1148	1195	872	1d 21h 27m 10s	5	7	21	5.24B	0		0.00	7.48s	$14.48M	Fast	63.72s	289766	0	3	120.90O	573.49K		0	16.86M	152.23s	1041	164026	0	1612	9h 12m 51s	4210	134.46s	208	7.52K		0	1690	227.72Q		0		185905	18.05O	0	10	5020	998963	1718	7035	1628
2025-09-26	13:47:00		farm		24	386393	4.16O	519	18	$29.14B	$19.17B	72.26K	66.50Q	3.93T	9.01B		82.17B	3.34T	242.94B	10.28B	242.68B		0	0		5.78B		0	4	21	0	63.77O	x8.00	1.01q	141.70q	3.96Q	0	0	91.65Q	0	55284	573696	82123				179428	0	1298	1320	1098	1d 18h 57m 41s	4	3	24	4.14B	0		3.52T	5.98s	$13.83M	Ranged	311.56s	273399	0	3	46.73O	576.32K		0	13.94M	598.84s	986	151865	0	1458	8h 57m 7s	4009	530.60s	432	7.90K		0	1511	958.86Q		0		173159	12.88O	0	10	4498	939263	1529	6728	1565
2025-09-26	04:43:00		farm		24	388627	4.49O	520	24	$3.80B	$2.11B	74.74K	139.85s	4.08T	8.84B		85.53B	3.46T	255.13B	10.67B	253.97B		0	0		6.42B		0	1	15	0	66.19O	x8.00	1.11q	145.22q	4.06Q	1	0	102.87Q	0	57414	582714	84217				181264	0	1020	858	1033	1d 19h 22m 44s	4	17	12	4.25B	0		0.00	7.56s	$13.93M	Fast	62.77s	276000	0	7	48.01O	585.14K		0	14.20M	141.33s	996	153215	1	1564	8h 59m 8s	4002	126.33s	352	7.59K		0	1538	241.31Q		0		174368	13.69O	0	10	4624	947121	1522	6761	1562
2025-09-25	16:11:00		farm		15	388373	4.47O	520	21	$6.00B	$3.52B	75.54K	15.75s	4.08T	9.29B		86.38B	3.45T	254.98B	10.90B	255.68B		0	0		6.71B		0	1	15	0	64.20O	x8.00	1.05q	138.50q	3.87Q	0	0	57.91Q	0	73930	594794	88335				181392	0	1202	1119	1003	1d 19h 29m 39s	8	2	33	4.28B	0		3.52T	6.59s	$13.92M	Ranged	53.60s	271041	0	0	46.80O	597.22K		0	14.74M	120.45s	992	153396	0	1508	8h 59m 4s	3981	107.43s	400	7.56K		0	1548	238.28Q		0		174240	12.93O	0	10	4621	946972	1565	6753	1556
2025-09-24	15:57:00		farm		15	388572	4.11O	525	12	$9.15B	$5.77B	75.31K	29.10Q	4.12T	10.29B		87.28B	3.48T	254.57B	10.51B	259.20B		0	0		6.18B		0	1	9	0	64.22O	x8.00	895.74T	142.45q	4.00Q	0	0	50.78Q	0	40938	607250	93641				181593	0	914	931	997	1d 19h 38m 18s	10	0	30	4.45B	0		0.00	6.94s	$14.02M	Fast	50.20s	280859	14.51T	0	47.12O	609.70K		0	15.01M	120.33s	992	154073	1	1529	8h 51m 50s	4044	107.21s	256	7.80K		0	1602	233.82Q		0		174496	12.99O	0	10	4716	949842	1585	6785	1550
2025-09-24	06:43:00		farm		21	390405	4.49O	527	27	$26.36B	$17.78B	72.77K	1.72S	4.16T	9.43B		87.45B	3.52T	260.21B	10.38B	259.99B		0	0		6.60B		0	3	9	0	67.26O	x8.00	888.40T	140.25q	3.92Q	0	0	259.92Q	0	51728	561361	79177				183234	0	1023	1042	1025	1d 19h 26m 0s	4	20	33	4.37B	0		0.00	10.60s	$13.94M	Fast	447.76s	280259	14.51T	10	49.30O	563.85K		0	13.07M	823.45s	1006	154823	1	1532	8h 53m 25s	4070	734.29s	368	8.15K		0	1576	1.57s		0		176230	13.47O	0	10	4585	955733	1477	6767	1563
2025-09-23	20:56:00		tournament		0	49943	653.34Q	761	0	$408.56M	$319.89M	690	71.50s	9.56B	0		309.23M	8.33B	256.30M	39.51M	575.15M		0	0		0		0	0	0	150.30q	111.71s	x8.00	884.04T	1.66q	6.72q	0	8.37s	635.24q	1065	2624	12242	347				16143	0	488	474	480	6h 39m 11s	2	0	0	18.40M	0		0.00	9.30Q	$2.08M	Fast	34.50Q	28944	14.51T	0	15.36s	12.74K		0	947.04K	12.52s	634	10859	0	22	1h 39m 47s	613	8.04s	0	5.61K		0	27	1.73Q		0		16390	3.26s	0	11+	82	95622	33	786	3
2025-09-23	18:56:00		farm		30	392023	4.18O	515	24	$32.47B	$21.56B	73.48K	0	4.14T	9.86B		87.15B	3.51T	259.20B	10.48B	258.94B		0	0		6.59B		0	0	36	0	63.27O	x8.00	860.51T	143.72q	4.01Q	1	0	48.89Q	0	69692	601189	74106				183417	0	1298	1420	1053	1d 19h 21m 48s	9	0	18	4.35B	0		3.42T	1.29s	$13.91M	Ranged	52.84s	273959	0	0	46.35O	603.92K		0	13.96M	124.81s	997	155468	0	1561	8h 50m 31s	3956	110.58s	384	9.01K		0	1540	757.42q		4.05S		175180	12.74O	0	10	4607	955662	1506	6736	1545
2025-09-23	10:02:00		farm		27	392619	3.74O	521	18	$12.29B	$7.57B	74.15K	0	4.12T	10.00B		86.36B	3.50T	251.33B	10.36B	253.62B		0	0		6.58B		0	3	15	0	56.66O	x8.00	886.05T	135.36q	3.77Q	1	0	40.73Q	0	40388	614181	74298				184014	0	1298	1420	1004	1d 19h 37m 37s	3	4	27	4.44B	0		3.42T	1.09s	$13.92M	Ranged	50.69s	284995	0	4	41.94O	616.59K		0	14.11M	115.63s	985	156123	1	1542	8h 58m 41s	4025	102.90s	320	8.56K		0	1537	163.17Q		3.90S		177218	10.98O	0	10	4603	959486	1524	6738	1541
2025-09-23	00:49:00		farm		27	388215	4.93O	513	21	$7.64B	$4.85B	72.75K	0	4.05T	8.70B		86.31B	3.42T	252.79B	10.47B	256.42B		0	0		6.34B		0	3	24	0	73.97O	x8.00	814.04T	134.64q	3.76Q	0	0	45.94Q	0	38904	617816	72688				180838	0	964	1084	1023	1d 19h 4m 18s	8	16	33	4.52B	0		0.00	1.22s	$13.83M	Scatter	48.53s	281338	0	6	54.65O	620.36K		0	14.33M	114.84s	992	153026	0	1496	8h 59m 30s	3953	102.32s	400	8.10K		0	1520	0		4.00S		174116	14.39O	0	10	4506	945154	1490	6706	1544
2025-09-22	15:31:00		farm		15	386655	2.63O	511	18	$7.36B	$4.48B	71.15K	0	3.83T	9.22B		81.82B	3.23T	241.54B	9.83B	241.26B		0	0		5.89B		0	1	24	0	42.23O	x8.00	811.23T	127.52q	3.55Q	0	0	64.14Q	0	45207	607827	70218				178591	0	1001	1058	1096	1d 18h 36m 27s	8	0	15	4.30B	0		0.00	1.15s	$13.66M	Scatter	45.01s	275645	0	0	31.45O	610.42K		0	14.13M	104.64s	978	150932	0	1484	8h 41m 7s	3969	93.11s	384	8.01K		0	1449	998.08T		3.56S		171566	8.15O	0	10	4416	934952	1483	6631	1531
2025-09-22	06:05:00		farm		12	387732	3.57O	510	33	$10.96B	$7.07B	74.26K	326.83K	4.04T	9.45B		86.74B	3.41T	256.36B	10.47B	257.56B		0	0		6.63B		0	3	27	0	52.27O	x8.00	859.61T	133.12q	3.72Q	0	0	47.42Q	0	43603	598263	87096				180188	0	1266	1213	1020	1d 19h 11m 50s	5	20	24	4.26B	0		0.00	6.27s	$13.85M	Fast	48.97s	278031	0	10	38.13O	600.76K		0	14.52M	110.24s	991	152515	2	1457	8h 58m 56s	4029	98.30s	416	8.50K		0	1468	0		0		172564	10.57O	0	10	4554	940626	1629	6714	1545
2025-09-21	18:50:00		farm		21	390699	3.89O	516	21	$16.96B	$11.19B	73.44K	46.36s	4.13T	10.37B		88.19B	3.49T	262.80B	10.59B	261.86B		0	0		6.82B		0	3	27	0	58.02O	x8.00	918.31T	134.56q	3.76Q	2	0	57.61Q	0	66839	587493	72454				183040	0	1006	1007	1054	1d 19h 12m 12s	8	0	27	4.57B	0		0.00	1.24s	$13.87M	Fast	51.98s	274643	0	0	42.77O	590.05K		0	13.79M	125.20s	1000	154872	0	1548	8h 49m 29s	4019	110.84s	352	7.82K		0	1547	37.81Q		4.27S		175270	11.35O	0	10	4584	953931	1489	6734	1556
2025-09-21	09:53:00	with new cannon module AS	farm		18	391332	4.72O	520	15	$23.25B	$15.59B	74.36K	0	4.01T	9.52B		86.18B	3.38T	256.12B	10.27B	254.45B		0	0		5.91B		0	2	6	0	70.82O	x8.00	895.50T	137.48q	3.84Q	0	0	55.63Q	0	44859	619885	64554				184561	0	1253	1266	991	1d 19h 50m 47s	7	20	15	4.30B	0		0.00	1.16s	$14.03M	Fast	47.22s	284181	0	10	52.27O	622.70K		0	14.90M	111.27s	1004	156751	0	785	9h 2m 52s	4056	99.01s	240	8.48K		0	811	0		4.10S		177703	13.82O	0	10	2393	961083	797	6809	1573
2025-09-20	18:43:00	with new cannon module AS	tournament		0	39611	195.36Q	128	0	$199.26M	$152.39M	665	22.85s	4.91B	0		161.88M	4.25B	151.17M	20.91M	300.48M		0	0		0		0	0	0	104.14q	42.52s	x8.00	997.65T	1.12q	5.01q	0	0	114.20q	0	234	9332	147				7902	0	448	469	458	6h 29m 0s	2	0	0	8.30M	0		0.00	1.85Q	$2.05M	Fast	7.21Q	19104	7.26T	0	12.90s	21.95K		0	1.52M	5.69s	141	5516	0	20	1h 37m 22s	627	4.32s	0	1.28K		0	21	655.36q		0		8011	871.73Q	0	11+	68	62007	27	775	7
2025-09-20	12:20:00	End card: UW Crit	farm		15	386174	3.44O	514	33	$10.49B	$6.81B	74.46K	2.03s	3.80T	8.82B		80.96B	3.21T	239.65B	9.44B	240.20B		0	0		6.50B		0	3	18	0	53.25O	x8.00	893.96T	139.44q	3.89Q	0	0	9.02Q	0	34859	585067	100201				180170	0	884	908	1000	1d 19h 21m 12s	7	0	21	4.22B	0		0.00	783.87Q	$13.83M	Fast	6.37s	281175	123.43B	0	38.96O	587.54K		0	13.10M	83.90s	992	152896	0	1494	8h 50m 10s	3948	72.73s	272	7.82K		0	1451	8.63Q		0		173980	10.85O	0	10	4502	939914	1557	6720	1558
2025-09-20	03:23:00	End card: Range	farm		24	387049	4.63O	512	21	$5.38B	$3.13B	74.85K	308.03Q	3.65T	8.10B		77.40B	3.09T	229.04B	9.30B	229.86B		0	0		6.56B		0	2	27	0	65.51O	x8.00	872.64T	168.66q	4.42Q	0	0	3.00Q	0	30047	496526	97620				181621	0	1122	1252	1036	1d 19h 31m 8s	8	20	15	3.96B	0		0.00	59.78Q	$13.88M	Basic	5.83s	284766	123.43B	10	47.74O	498.26K		0	14.19M	111.49s	998	154644	0	1492	9h 6m 6s	3975	96.42s	224	7.00K		0	1531	0		136.86s		173520	13.14O	0	10	4594	946062	1571	6737	1557
2025-09-19	16:36:00	End card: slow	farm		33	388094	3.53O	514	6	$2.47B	$1.18B	75.42K	10.26s	3.73T	8.57B		80.92B	3.14T	239.04B	9.38B	238.68B		0	0		6.07B		0	2	9	0	55.62O	x8.00	865.09T	136.77q	3.65Q	1	0	4.19Q	0	30723	608765	80046				181662	0	1213	1385	1063	1d 18h 59m 17s	8	0	39	4.17B	0		3.35T	66.89Q	$13.80M	Ranged	7.81s	282564	123.43B	0	41.84O	611.29K		0	12.80M	110.44s	982	153222	0	1499	8h 46m 15s	3965	96.93s	352	7.21K		0	1514	0		305.83s		173258	10.25O	0	10	4508	944539	1495	6692	1541
2025-09-19	07:22:00		farm		27	349417	231.55S	468	15	$67.87B	$46.08B	59.59K	8.86s	3.22T	7.32B		67.92B	2.73T	199.44B	7.93B	201.87B		0	0		5.54B		0	1	9	0	3.36O	x8.00	688.12T	56.57q	1.49Q	0	0	2.96Q	0	51867	467710	29433				151537	0	856	918	954	1d 14h 55m 40s	2	20	12	3.34B	0		0.00	247.97Q	$12.57M	Basic	5.71s	237067	0	10	2.45O	469.79K		0	10.62M	76.05s	903	128033	1	281	8h 0m 13s	3604	66.69s	224	8.00K		0	287	0		0		147562	683.02S	0	10	886	817210	318	6100	1409
2025-09-18	20:10:00		farm		18	388523	3.80O	527	18	$10.74B	$6.97B	77.03K	0	3.65T	8.97B		77.89B	3.09T	226.09B	9.10B	231.21B		0	0		5.81B		0	2	15	0	55.92O	x8.00	811.46T	126.15q	3.39Q	0	0	2.96Q	0	27205	613339	79175				181426	0	1027	1276	1000	1d 19h 27m 29s	7	1	21	4.05B	0		3.35T	54.05Q	$13.90M	Ranged	5.22s	285668	96.99B	0	42.09O	615.74K		0	13.23M	85.12s	993	153812	1	1469	9h 16m 8s	3956	73.72s	384	9.55K		0	1597	0		231.32s		174193	10.03O	0	10	4590	948848	1524	6739	1551
2025-09-17	19:02:00		milestone		0	7132	88.42s	33	0	$35.05M	$27.86M	117	50.71s	3.53B	0		81.97M	3.21B	76.52M	11.65M	140.88M		0	0		0		0	0	0	35.07Q	682.83s	x8.00	522.32T	273.70T	1.51q	2	0	535.77q	0	2	3741	116				1137	0	194	189	177	2h 56m 42s	0	0	0	2.06M	0		0.00	1.17Q	$799.34K	Basic	8.64Q	3251	37.45T	0	354.23s	7.29K		0	776.13K	150.18s	38	660	0	2	44m 10s	232	110.17s	0	400		0	1	496.73q		0		1082	39.24s	0	14	4	10116	1	303	0
2025-09-17	17:58:00		farm		36	382123	3.63O	521	9	$7.48B	$4.69B	78.46K	12.12s	3.81T	8.84B		83.32B	3.20T	247.29B	9.82B	246.66B		0	0		6.60B		0	2	42	0	53.54O	x8.00	794.86T	125.49q	3.37Q	0	0	4.32Q	0	34596	570409	81551				176667	0	1119	985	993	1d 19h 18m 28s	8	0	9	4.19B	0		3.35T	349.32Q	$13.91M	Ranged	7.82s	276823	47.06B	0	39.77O	572.95K		0	12.63M	114.60s	1002	150236	1	1567	8h 51m 9s	4001	100.77s	256	9.65K		0	1512	12.99Q		0		170172	10.13O	0	10	4594	927965	1515	6748	1555
2025-09-17	08:09:00		farm		15	389011	3.89O	517	15	$10.66B	$6.40B	77.10K	177.14Q	3.60T	7.62B		78.02B	3.04T	224.47B	9.10B	231.90B		0	0		5.59B		0	2	15	0	56.33O	x8.00	808.91T	132.35q	3.54Q	0	0	2.90Q	0	30103	602125	94202				181675	0	1298	1720	994	1d 19h 23m 15s	2	20	21	4.07B	0		3.35T	270.55Q	$13.89M	Ranged	5.41s	284710	47.06B	10	41.89O	604.34K		0	13.28M	85.05s	980	153092	1	1566	9h 4m 29s	3930	73.70s	224	8.08K		0	1557	251.64q		0		174674	10.54O	0	10	4584	948354	1461	6745	1562
2025-09-16	22:57:00		tournament		0	38667	173.71Q	125	0	$220.97M	$167.95M	484	12.63s	5.05B	0		173.06M	4.36B	154.34M	20.21M	315.59M		0	0		0		0	0	0	74.95q	32.20s	x8.00	815.10T	1.10q	4.72q	0	0	102.66q	0	174	10359	34				7737	0	465	453	490	6h 24m 59s	2	0	0	9.84M	0		0.00	923.21q	$2.01M	Fast	4.07Q	18744	47.06B	0	11.23s	20.95K		0	1.43M	7.98s	138	5380	0	31	1h 36m 16s	611	5.79s	0	2.13K		0	20	675.18q		0		8030	184.19Q	0	11+	66	60743	15	760	5
2025-09-16	17:41:00		farm		18	388643	3.71O	515	12	$34.30B	$22.67B	77.17K	595.49Q	3.65T	8.66B		80.58B	3.06T	237.20B	9.12B	239.13B		0	0		5.85B		0	4	24	0	56.16O	x8.00	844.36T	124.95q	3.37Q	0	0	2.60Q	0	41891	611871	72731				181469	0	1298	1509	1010	1d 19h 29m 57s	10	20	24	3.92B	0		0.00	51.64Q	$13.85M	Ray	5.48s	280517	0	10	42.75O	614.44K		0	12.89M	83.95s	989	153384	1	1492	9h 1m 27s	3941	73.49s	416	8.19K		0	1508	786.62q		242.22s		174266	9.70O	0	10	4504	945683	1504	6721	1551
2025-09-16	07:57:00		farm		15	392432	4.44O	521	18	$3.98B	$1.82B	76.09K	0	3.61T	7.46B		79.23B	3.04T	231.76B	8.83B	235.38B		0	0		5.40B		0	2	12	0	67.63O	x8.00	775.48T	137.08q	3.68Q	0	0	3.09Q	0	32193	595859	85883				184219	0	1000	1146	1002	1d 19h 46m 32s	1	20	12	3.74B	0		3.35T	57.70Q	$13.97M	Ranged	5.31s	287298	0	10	51.40O	598.28K		0	12.90M	81.81s	1001	155695	0	1511	9h 2m 51s	3997	70.79s	240	9.17K		0	1534	0		215.64s		176469	11.80O	0	10	4594	957585	1549	6784	1569
2025-09-15	12:57:00		farm		18	387363	4.90O	529	18	$27.72B	$18.37B	81.64K	306.85Q	3.63T	8.37B		79.33B	3.05T	229.36B	8.95B	235.23B		0	0		5.73B		0	2	18	0	69.60O	x8.00	903.35T	139.62q	3.76Q	0	0	2.52Q	0	43758	608473	90337				180277	0	1043	1113	1025	1d 19h 50m 18s	9	6	30	3.87B	0		0.00	260.29Q	$14.05M	Fast	5.25s	279908	0	4	51.08O	611.20K		0	13.73M	67.55s	998	153183	0	1532	9h 4m 39s	4036	59.11s	288	8.07K		0	1585	313.38q		0		174135	13.62O	0	10	4732	945100	1615	6808	1562
2025-09-15	03:51:00		farm		21	388846	4.02O	510	12	$15.96B	$10.39B	77.31K	0	3.54T	8.23B		78.41B	2.97T	229.08B	8.78B	233.20B		0	0		5.83B		0	2	3	0	61.96O	x8.00	788.99T	136.76q	3.59Q	0	2.86s	3.08Q	320	41707	595410	79260				180231	0	1298	1621	1017	1d 19h 19m 53s	6	14	18	3.83B	0		0.00	279.87Q	$13.81M	Scatter	5.82s	279138	0	8	46.76O	597.88K		0	12.90M	81.85s	991	153192	0	1023	8h 49m 46s	3951	71.00s	272	8.59K		0	1038	0		0		174331	11.17O	0	10	3146	943673	1085	6711	1555
2025-09-14	07:15:00		farm		3	391368	3.05O	516	9	$12.97B	$8.61B	72.84K	46.46s	3.14T	6.74B		70.66B	2.63T	207.96B	7.60B	210.16B		0	0		5.60B		0	2	24	0	60.47O	x8.00	798.70T	118.09q	3.17Q	0	14.55O	20.53Q	224045	38402	442842	56932				184377	0	901	1141	1098	1d 19h 32m 11s	1	20	18	3.06B	0		0.00	352.14Q	$13.86M	Fast	41.51s	286075	0	8	33.27O	444.91K		0	11.86M	482.51s	982	156132	1	1503	9h 2m 40s	3955	420.51s	256	7.03K		0	1530	56.43Q		0		177462	9.61O	0	10	4525	958551	1492	6712	1540
2025-09-13	07:36:00		farm		36	388657	3.77O	517	12	$3.60B	$2.02B	77.91K	0	3.64T	7.28B		80.18B	3.06T	232.47B	9.06B	238.10B		0	0		5.49B		0	4	18	0	59.31O	x8.00	1.01q	120.47q	3.25Q	1	0	2.61Q	0	38810	618987	74114				181706	0	832	1247	988	1d 19h 36m 22s	8	14	24	3.70B	0		3.35T	51.65Q	$13.87M	Ranged	5.63s	281751	457.49B	10	45.16O	621.22K		0	12.99M	86.07s	994	153438	1	1481	9h 10m 51s	4020	75.46s	336	7.04K		0	1541	5.95q		226.95s		175251	10.38O	0	10	4556	948071	1534	6734	1556
2025-09-12	15:33:00		farm		15	387687	3.64O	521	18	$40.53B	$26.27B	78.00K	7.00Q	3.57T	7.50B		77.84B	3.01T	224.15B	8.41B	231.28B		0	0		5.64B		0	0	15	0	54.76O	x8.00	836.18T	125.89q	3.38Q	1	0	11.88Q	0	27663	596398	75126				181950	0	1037	1485	1003	1d 19h 42m 11s	4	20	18	3.66B	0		0.00	329.13Q	$13.90M	Fast	32.48s	284840	0	9	41.09O	598.78K		0	12.64M	406.11s	986	153908	2	1024	8h 58m 37s	3973	354.23s	240	8.33K		0	1035	0		0		174038	10.03O	0	10	3107	947044	1048	6745	1557
2025-09-11	22:57:00		farm		24	388435	3.50O	520	36	$12.47B	$8.23B	74.42K	0	3.06T	6.35B		70.44B	2.57T	193.21B	7.59B	209.17B		0	0		5.01B		0	1	27	0	53.86O	x8.00	808.77T	140.01q	3.72Q	0	0	2.39Q	0	26619	596145	91868				181337	0	1282	1183	1037	1d 19h 11m 27s	1	0	6	3.39B	0		3.28T	49.73Q	$13.52M	Ranged	4.88s	284320	0	0	39.76O	598.48K		0	13.01M	69.97s	983	154027	0	1498	8h 52m 58s	3963	60.75s	240	8.79K		0	1460	0		188.11s		174402	10.59O	0	10	4495	945305	1537	6696	1534
2025-09-11	07:07:00		farm		12	391128	3.52O	527	15	$3.92B	$2.23B	74.74K	0	3.40T	7.15B		75.95B	2.85T	221.90B	8.15B	224.95B		0	0		4.97B		0	1	21	0	54.02O	x8.00	836.63T	138.41q	3.71Q	0	0	2.85Q	0	32682	603991	90792				182749	0	1220	1051	975	1d 19h 35m 58s	2	20	15	3.59B	0		0.00	55.46Q	$13.63M	Fast	5.29s	285975	13.50T	10	40.71O	606.47K		0	13.05M	76.92s	1006	154535	0	1479	8h 57m 31s	3972	66.49s	448	8.15K		0	1585	0		202.00s		176030	9.79O	0	10	4661	954839	1597	6762	1557
2025-09-10	21:41:00		farm		30	353180	235.03S	463	9	$7.57B	$4.80B	60.82K	0	3.00T	6.30B		66.66B	2.52T	196.51B	7.22B	198.29B		0	0		5.26B		0	0	18	0	3.49O	x8.00	714.74T	49.90q	1.34Q	0	0	2.20Q	0	27587	516539	48578				152718	0	1298	1820	1126	1d 14h 29m 1s	0	0	27	3.08B	0		3.28T	33.97Q	$12.14M	Ranged	3.67s	245838	13.48T	0	2.66O	518.58K		0	10.52M	69.53s	879	128489	1	1217	7h 58m 5s	3491	60.92s	128	7.83K		0	1193	0		149.18s		148541	594.89S	0	10	3600	821970	1190	6008	1371
2025-09-09	23:27:00		tournament		0	39867	217.98Q	128	0	$223.14M	$171.25M	677	31.06s	4.53B	0		156.24M	3.90B	143.32M	16.74M	287.35M		0	0		0		0	0	0	75.22q	47.41s	x8.00	873.49T	1.19q	5.07q	0	0	164.44q	0	1075	10205	351				8159	0	483	454	503	6h 34m 45s	2	0	0	8.88M	0		0.00	2.08Q	$2.01M	Fast	5.93Q	19085	13.19T	0	7.07s	15.58K		0	965.64K	7.62s	146	5646	0	32	1h 38m 55s	609	5.61s	0	1.62K		0	26	1.53Q		0		8047	1.43s	0	11+	81	62854	23	777	3
2025-09-09	21:27:00		farm		21	380561	2.51O	507	9	$14.81B	$9.83B	71.84K	0	2.95T	6.23B		66.94B	2.48T	182.62B	7.29B	197.80B		0	0		4.43B		0	1	15	0	37.67O	x8.00	721.34T	117.63q	3.01Q	0	0	2.57Q	0	25662	595453	80203				174322	0	1052	1229	1061	1d 18h 20m 47s	3	5	18	3.17B	0		0.00	243.73Q	$13.28M	Basic	4.56s	276221	0	0	28.25O	597.59K		0	13.00M	74.36s	965	147701	0	1405	8h 51m 23s	3923	64.97s	432	6.67K		0	1514	0		0		167393	6.91O	0	10	4350	918172	1431	6595	1527
2025-09-08	16:44:00		farm		15	381377	3.33O	518	9	$24.62B	$16.27B	72.71K	0	3.03T	6.36B		69.85B	2.53T	197.76B	7.46B	205.45B		0	0		5.12B		0	0	15	0	49.72O	x8.00	833.91T	127.98q	3.28Q	0	0	15.91Q	0	33542	576813	77002				176553	0	890	1097	1015	1d 19h 14m 41s	10	0	24	3.15B	0		3.28T	314.28Q	$13.50M	Ranged	29.85s	276952	0	0	37.04O	579.24K		0	12.86M	382.79s	998	149314	2	1436	9h 39m 42s	3965	331.48s	240	7.79K		0	1558	0		0		169612	9.35O	0	10	4519	926713	1525	6704	1547
2025-09-08	05:35:00		farm		27	385763	3.29O	510	0	$27.04B	$18.10B	73.34K	0	3.13T	6.70B		71.32B	2.62T	204.92B	7.38B	207.19B		0	0		5.04B		0	5	9	0	49.21O	x8.00	765.35T	124.97q	3.20Q	0	0	14.22Q	0	31726	598696	78224				180163	0	870	1065	999	1d 18h 57m 39s	5	20	18	3.38B	0		0.00	315.18Q	$13.50M	Basic	31.92s	281744	234.41B	10	37.06O	601.08K		0	12.96M	364.22s	974	151947	0	1490	8h 52m 10s	3967	316.46s	352	7.28K		0	1522	193.42B		0		172301	8.86O	0	10	4512	938714	1500	6690	1537
