_Date	_Time	_Notes	_Run Type	Battle Date	Armor Shards	Basic	Black Hole Damage	Boss	Cannon Shards	Cash earned	Cash From Golden Tower	Cells Earned	Chain Lightning Damage	Coins earned	Coins Fetched	Coins From Black Hole	Coins from Blackhole	Coins from Coin Bonuses	Coins from Coin Upgrade	Coins From Death Wave	Coins From Golden Tower	Coins From Orb	Coins from Orbs	Coins From Spotlight	Coins per hour	Coins Stolen	Commander	Commanders	Common Modules	Core Shards	Damage	Damage dealt	Damage Gain From Berserk	Damage Taken	Damage Taken Wall	Damage Taken While Berserked	Death Defy	Death Ray Damage	Death Wave Damage	Destroyed by Death Ray	Destroyed by Land Mine	Destroyed By Orbs	Destroyed by Thorns	Destroyed in Golden Bot	Destroyed in Spotlight	Enemies Hit by Orbs	Fast	Flame Bot Damage	Free Attack Upgrade	Free Defense Upgrade	Free Utility Upgrade	Game Time	Gem Blocks Tapped	Gems	Generator Shards	Golden Bot Coins Earned	Guardian catches	Guardian coins stolen	HP From Death Wave	Inner Land Mine Damage	Interest earned	Killed By	Land Mine Damage	Land Mines Spawned	Lifesteal	Medals	Orb Damage	Orb Hits	Overcharge	Overcharges	Projectiles Count	Projectiles Damage	Protector	Ranged	Rare Modules	Rays	Real Time	Recovery Packages	Rend Armor Damage	Reroll Shards	Reroll Shards Earned	Saboteur	Saboteurs	Scatters	Smart Missile Damage	Summoned enemies	Swamp Damage	Tagged by Deathwave	Tank	Thorn damage	Thunder Bot Stuns	Tier	Total Elites	Total Enemies	Vampires	Wave	Waves Skipped
2025-10-06	10:40:00		farm		18	408871	18.05O	547	15	$27.35B	$18.39B	82.86K	0	4.70T	12.65B		97.15B	4.00T	284.68B	12.06B	283.55B		0	0		7.22B		0	4	15	0	166.73O	x8.00	1.01q	113.38q	3.53Q	0	0	118.60Q	0	73162	579675	64791				199365	0	601	747	755	1d 22h 19m 21s	3	3	6	5.32B	0		0.00	10.89s	$14.70M	Fast	91.53s	294308	0	0	128.79O	582.69K		0	17.15M	194.04s	1058	168456	0	1687	9h 31m 16s	4283	171.65s	272	8.59K		0	1711	292.15Q		0		190223	19.89O	0	10	5160	1021295	1762	7131	1643
2025-10-05	14:59:00		farm		42	408711	17.52O	548	21	$24.22B	$16.50B	82.58K	0	4.91T	13.57B		103.61B	4.16T	307.79B	12.87B	302.11B		0	0		7.64B		0	5	21	0	160.60O	x8.00	1.03q	105.42q	3.28Q	0	0	154.09Q	0	91791	562701	53411				198086	0	1024	746	774	1d 22h 11m 17s	7	14	33	5.47B	0		0.00	2.16s	$14.72M	Fast	97.00s	287867	0	7	124.61O	565.79K		0	16.17M	222.40s	1051	168127	0	1615	9h 29m 38s	4225	196.40s	512	7.79K		0	1581	305.31Q		4.95S		189815	18.47O	0	10	4855	1018798	1659	7122	1626
2025-10-04	17:55:00		farm		9	406887	15.74O	546	27	$12.07B	$7.70B	81.17K	14.00M	4.40T	12.22B		91.87B	3.75T	266.16B	11.34B	261.70B		0	0		6.61B		0	1	33	0	144.78O	x8.00	995.17T	96.76q	3.03Q	2	0	99.48Q	0	82309	556634	52625				196766	0	638	695	790	1d 20h 38m 31s	10	0	9	4.97B	0		0.00	2.15s	$14.56M	Fast	93.81s	289817	0	0	112.88O	559.97K		0	16.00M	211.93s	1045	167016	2	1723	9h 11m 45s	4222	187.06s	368	9.34K		0	1679	345.36Q		4.77S		188811	16.16O	0	10	5098	1013202	1696	7063	1628
2025-10-04	08:20:00		tournament		0	36673	60.53Q	120	0	$250.69M	$201.58M	609	13.23s	5.98B	0		206.06M	5.20B	172.36M	14.76M	350.04M		0	0		0		0	0	0	2.82q	15.47s	x8.00	1.06q	1.35q	6.08q	0	81.20Q	71.29q	60	383	5331	38				7264	0	482	462	469	6h 7m 44s	2	0	0	14.82M	0		0.00	1.27Q	$1.92M	Basic	3.29Q	17550	0	0	927.58Q	24.34K		0	1.16M	1.09s	125	5103	0	23	1h 31m 55s	568	658.07Q	0	801		0	22	389.48q		0		7361	73.95Q	0	11+	73	57379	28	725	3
2025-10-03	15:30:00		farm		36	395666	9.64O	526	15	$12.31B	$7.74B	78.47K	0	4.46T	11.74B		93.27B	3.78T	275.77B	11.63B	272.21B		0	0		7.21B		0	3	15	0	88.47O	x8.00	1.18q	91.05q	2.88Q	5	0	76.45Q	0	58760	550206	51933				187618	0	941	1092	898	1d 20h 17m 2s	5	0	30	5.13B	0		0.00	1.90s	$14.22M	Fast	84.61s	283127	829.55B	0	68.72O	553.53K		0	16.37M	192.49s	1030	158917	0	1585	9h 2m 33s	4110	170.10s	288	7.75K		0	1637	312.44Q		4.04S		178909	10.10O	0	10	4833	973503	1611	6894	1586
2025-10-03	04:44:00		farm		15	304952	395.18S	396	21	$11.80B	$7.83B	48.67K	549.47q	3.32T	8.15B		61.75B	2.87T	180.98B	7.63B	180.23B		0	0		6.00B		0	2	18	0	3.70O	x8.00	835.25T	73.01q	2.27Q	0	0	469.75Q	0	34151	387272	29312				119876	0	800	716	787	1d 9h 4m 6s	8	20	24	3.29B	0		0.00	6.31s	$10.66M	Fast	258.88s	199630	829.55B	10	2.90O	389.60K		0	12.51M	705.33s	743	101331	0	971	6h 54m 17s	3073	620.30s	460	6.78K		0	980	1.25s		0		118918	404.89S	0	11	2950	677553	999	5167	1187
2025-10-02	17:56:00		farm		24	398329	13.25O	540	21	$6.33B	$3.94B	82.69K	559.87s	4.39T	11.28B		93.51B	3.72T	275.20B	11.49B	273.26B		0	0		7.25B		0	1	27	0	121.27O	x8.00	1.01q	97.77q	3.07Q	1	0	136.92Q	0	48513	532716	57868				190376	0	1198	1069	827	1d 21h 14m 48s	8	0	21	5.02B	0		0.00	12.26s	$14.53M	Fast	118.56s	291335	829.55B	0	93.09O	536.10K		0	16.20M	256.49s	1025	161470	1	1765	9h 22m 37s	4203	228.53s	368	9.48K		0	1657	481.30Q		0		182403	14.93O	0	10	5073	985670	1651	7037	1614
2025-10-02	07:05:00		farm		24	408117	13.66O	547	24	$11.78B	$7.64B	80.05K	896.57s	4.17T	9.63B		88.54B	3.52T	263.90B	10.52B	258.86B		0	0		6.71B		0	4	33	0	149.71O	x8.00	994.70T	84.38q	2.71Q	0	35.43O	253.94Q	216680	67004	399569	41582				200013	0	679	509	773	1d 21h 43m 58s	1	20	30	4.39B	0		3.59T	4.38s	$14.61M	Ranged	622.66s	295627	829.55B	10	86.30O	402.43K		0	15.01M	1.31S	1043	169184	1	1726	9h 20m 30s	4303	1.16S	336	7.88K		0	1667	688.42Q		0		189837	14.31O	0	10	5153	1021121	1760	7101	1645
2025-10-01	20:21:00		tournament		0	45225	2.07s	142	0	$322.43M	$259.30M	542	207.92s	6.46B	0		217.99M	5.63B	189.87M	16.77M	376.95M		0	0		0		0	0	0	1.17Q	248.70s	x8.00	673.85T	947.29T	4.08q	0	7.47s	671.81q	729	1840	11425	33				9307	0	544	538	544	7h 15m 59s	3	0	0	12.94M	0		0.00	7.82Q	$2.29M	Boss	17.95Q	21559	829.55B	0	19.51s	16.96K		0	976.25K	10.13s	160	6565	0	30	1h 48m 59s	690	6.10s	0	1.19K		0	24	7.34Q		0		9355	1.58s	0	11+	86	71560	32	864	4
2025-10-01	20:21:00		tournament		0	45225	2.07s	142	0	$322.43M	$259.30M	542	207.92s	6.46B	0		217.99M	5.63B	189.87M	16.77M	376.95M		0	0		0		0	0	0	1.17Q	248.70s	x8.00	673.85T	947.29T	4.08q	0	7.47s	671.81q	729	1840	11425	33				9307	0	544	538	544	7h 15m 59s	3	0	0	12.94M	0		0.00	7.82Q	$2.29M	Boss	17.95Q	21559	829.55B	0	19.51s	16.96K		0	976.25K	10.13s	160	6565	0	30	1h 48m 59s	690	6.10s	0	1.19K		0	24	7.34Q		0		9355	1.58s	0	11+	86	71560	32	864	4
2025-10-01	16:00:00		farm		33	402050	10.94O	542	24	$18.06B	$11.60B	80.47K	0	4.50T	11.23B		95.64B	3.81T	284.02B	11.81B	279.47B		0	0		7.57B		0	2	12	0	101.28O	x8.00	891.61T	92.21q	2.83Q	0	0	78.85Q	0	56260	541767	51949				192534	0	822	836	770	1d 21h 5m 40s	8	0	27	5.13B	0		3.59T	1.95s	$14.37M	Ranged	88.11s	291970	0	0	79.05O	544.74K		0	15.84M	208.48s	1024	164623	1	1712	9h 27m 30s	4111	183.27s	416	7.96K		0	1646	287.61Q		4.12S		185329	11.28O	0	10	4995	997735	1637	6991	1625
